post_title,sku,short_descripcion,description,regular_price,sale_price,product_cat,images
iPhone SE,JC01,El vidrio mas resistente usado tanto en la parte frontal como en la trasera. Sensor de huellas digitales integrado en el boton de inicio,Pantalla Retina Pantalla widescreen LCD Multi-Touch de 4 pulgadas (diagonal) con tecnologia IPS Resolucion de 1136 x 640 pixeles a 326 ppi Relacion de contraste 800:1 (normal) Compatibilidad total con estándar sRGB Brillo maximo de 500 cd/m2 (normal) Revestimiento oleofobico resistente a huellas dactilares Compatibilidad para mostrar varios idiomas y caracteres simultaneamente,6000,3600,Teléfonos y comunicaciones,"https://cdn2.cnet.com/img/e6fwTZtsDbEawLuRmAfay4Gp5nU=/830x467/2016/03/21/65002cd3-c60d-43bc-83b4-504f3495e0bd/iphonese8.jpg,https://www.bidiby.com/wp-content/uploads/2018/01/iphone-se-grigio-bidiby-4.jpg,https://media.aws.alkosto.com/media/catalog/product/cache/6/image/69ace863370f34bdf190e4e164b6e123/1/9/190198292940-5_1.jpg,http://www.mi-apple.es/198-large_default/iphone-5-16gb-blanco-reacondicionado.jpg"
iPhone 6,JC02,"Pantalla 4.7"" Retina HD Multi Touch IPS, Camara Principal De 8 MPX F/2.2, Auto Enfoque Con Focus Pixels y Grabacion 1080p HD, Camara Frontal De 1.2 MPX Con Grabacion De Video HD y Apertura Focal F/2.2, Sensor De Huellas Digitales, Chip A8 Con Arquite","PANTALLA 4.7 PULGADAS RETINA HD 
-La pantalla cuenta con una tecnologia LED multi-touch IPS que te permitira percibir mejores tus fotografias, videos, fotos y peliculas favoritas.

CHIP PROCESADOR A8 64 BITS , iOS 9
-Ejecuta tus aplicaciones, visualiza tus videos, fotos y peliculas sin lentitud, ya que el procesador te permitira disfrutar de todo sin complicaciones y de manera rapida.

CÁMARA PRINCIPAL 8 MPX CON FOCUS PIXELS
-Captura increibles fotografias de alta calidad con resolución de 8 mpx, con la que podras obtener imagenes mucho mas reales gracias a la tecnologia de la camara que cuenta con autoenfoque con focus pixel, HDR automatico, filtro hibrido IR, cubierta de cristal de zafiro, detección de caras y live photos con estabilizacion.

CAMARA FRONTAL DE 1.2 MPX
-Captura las mejores selfies con tus amigos, ya que la camara frontal de 1.2 mpx, cuenta con una apertura focal de 2.2. Ademas, obtendras fotografias de calidad gracias a su configuracion con HDR automatico, sensor de iluminacion posterior, control de exposicion, modo rafaga y tambien detector de caras.

SENSOR DE HUELLAS DACTILARES BOTON DE INICIO
-Solo coloca tu dedo sobre el sensor, el telefono se desbloqueara rapidamente y al mismo tiempo, podras acceder a las funciones y aplicaciones.",6100,4298,Teléfonos y comunicaciones,"https://cdn1.coppel.com/images/catalog/pm/2654413-1.jpg,https://i.zst.com.br/images/smartphone-apple-iphone-6-6-32gb-32gb-apple-a8-8-0-mp-ios-8-3g-4g-wi-fi-photo186682082-12-2-30.jpg,https://images-na.ssl-images-amazon.com/images/I/414MkIjXzOL.jpg,https://ss632.liverpool.com.mx/xl/7550426.jpg"
iPhone 6 Plus,JC03,"Dimensiones: 15,81 cm x 7,78 cm x 0,71 cm Peso: 172 g Pantalla Pantalla Retina HD Multi-Touch panoramica de 5,5 pulgadas (en diagonal) retroiluminada por LED con tecnologia IPS Resolucion de 1.920 por 1.080 a 401 p/p Contraste de 1.300:1 (típico) Brillo maximo de 500 cd/m2 (tipico) Compatibilidad total con sRGB Pixeles de doble dominio Cubierta oleofuga antihuellas en la parte delantera","Dimensiones: 15,81 cm x 7,78 cm x 0,71 cm Peso: 172 g Pantalla Pantalla Retina HD Multi-Touch panoramica de 5,5 pulgadas (en diagonal) retroiluminada por LED con tecnologia IPS Resolucion de 1.920 por 1.080 a 401 p/p Contraste de 1.300:1 (tipico) Brillo maximo de 500 cd/m2 (tipico) Compatibilidad total con sRGB Pixeles de doble dominio Cubierta oleofuga antihuellas en la parte delantera
Camara iSight Camara iSight de 8 megapixeles con pixeles de 1,5 Enfoque automatico con Focus Pixels Apertura de f/2,2 Estabilizacion optica de imagen (solo en el iPhone 6 Plus) Flash True Tone Camara FaceTime HD Fotos de 1,2 megapixeles Apertura de f/2,2 Grabacion de video en 720p HD
Touch ID Sensor de identidad por huella dactilar integrado en el boton de inicio
Desbloqueado y compatible con red Telcel, AT&T, Movistar, Nextel, Iusacell, Unefon, Virgin.",9999,6700,Teléfonos y comunicaciones,"https://cdn1.coppel.com/images/catalog/pm/2654413-1.jpg,https://i.zst.com.br/images/smartphone-apple-iphone-6-6-32gb-32gb-apple-a8-8-0-mp-ios-8-3g-4g-wi-fi-photo186682082-12-2-30.jpg,https://images-na.ssl-images-amazon.com/images/I/414MkIjXzOL.jpg,https://ss632.liverpool.com.mx/xl/7550426.jpg"
iPhone 7,JC04,"Pantalla 4.7"" Retina HD Multi Touch IPS, Camara Principal De 12 MPX F/1.8 + 12 MPX Gran Angular y Teleobjetivo, Auto Enfoque Con Focus Pixels y Grabación 4K, Camara Frontal De 7 MPX Con Grabación De Video HD y Apertura Focal F/2.2, Sensor De Huellas Digitales, Chip A10 Con Arquitectura De 64 Bits, 128 GB De Almacenamiento Interno.","Pantalla 4.7"" Retina HD Multi Touch IPS, Camara Principal De 12 MPX F/1.8 + 12 MPX Gran Angular y Teleobjetivo, Auto Enfoque Con Focus Pixels y Grabación 4K, Camara Frontal De 7 MPX Con Grabacion De Video HD y Apertura Focal F/2.2, Sensor De Huellas Digitales, Chip A10 Con Arquitectura De 64 Bits, 128 GB De Almacenamiento Interno.",11000,8000,Teléfonos y comunicaciones,"https://i1.wp.com/netpc.uy/wp-content/uploads/2018/11/Celular-Apple-iPhone-7-128GB-Black-3.jpg?fit=550%2C550&ssl=1,https://drop.ndtv.com/TECH/product_database/images/982016124826AM_635_iphone_7.jpeg,https://cdn.shopify.com/s/files/1/0101/2522/products/apple_iphone_7_plata.jpg?v=1515597725,https://www.ishopperu.com.pe/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-7-gold.jpg"
iPhone 7 Plus,JC05,"Las nuevas funcionalidades de iOS 11 convierten tu iPhone en un dispositivo mas poderoso, inteligente y personal que nunca. Ahora podras hacer mas cosas de forma mas rapida y sencilla.
Pantalla widescreen LCD Multi-Touch de 5.5 pulgadas (diagonal) con tecnologia IPS
Resolucion de 1920 x 1080 pixeles a 401 ppi
Relación de contraste 1300:1 (normal)","Capacidad: 128GB
Cámaras de 12 MP con gran angular y teleobjetivo
Sensor de huellas digitales Touch ID
Tarjeta Nano-SIM
Estabilización optica de imagen
Lente de seis elementos
Flash Quad-LED True Tone
Fotos panorámicas (hasta 63 MP)
Cubierta del lente de cristal de zafiro
Sensor de iluminación posterior

Filtro hibrido IR
Autoenfoque con Focus Pixels
Enfoque con un toque con Focus Pixels
Live Photos con estabilización
Amplia gama de colores en fotos y Live Photos
Mejor mapeo de tonos localizado
Detección de cuerpos y caras
Control de exposicion
Reducción de ruido
HDR automatico para fotos
Estabilización automática de imagen
Modo rafaga",13000,10000,Teléfonos y comunicaciones,"https://images-na.ssl-images-amazon.com/images/I/81b7oHjvbbL._SX569_.jpg,https://drop.ndtv.com/TECH/product_database/images/982016125448AM_635_iphone_7_plus.jpeg,https://www.ishopperu.com.pe/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphones-7-plus-rosegold.jpg,https://images-na.ssl-images-amazon.com/images/I/418fDVeBfKL._SY550_.jpg"
iPhone 8,JC06,"Sistema Operativo IOS 11
Camara trasera de 12 MP y frontal de 7 MP
64 GB de Memoria Interna","Peso del producto 599 g
Dimensiones del producto 4 x 8 x 15 cm
Peso 599 g",16900,16000,Teléfonos y comunicaciones,"https://www.claro.com.co/portal/recursos/co/cpp/promociones/imagenes/1509031245723-Imagen.jpg,https://images-na.ssl-images-amazon.com/images/I/51gPPl7CFdL._SY450_.jpg,https://www.vodafone.co.uk/cs/groups/public/documents/webcontent/vfcon084638.jpg,https://images-na.ssl-images-amazon.com/images/I/51-oO1v54QL._SY450_.jpg"
iPhone 8 Plus,JC07,"El vidrio mas resistente usado en un smartphone.
Una carga inalambrica para un mundo sin cables.
Bocinas estereo. Mas potentes y con mayor rango dinamico.
""Seguridad avanzada. En la punta de tu dedo.""
Pantalla widescreen LCD Multi-Touch de 5.5 pulgadas (diagonal) con tecnologia IPS","Peso del producto 204 g
Dimensiones del producto 15.8 x 0.8 x 7.8 cm
Pilas: 1 Lithium ion necesaria(s), incluida(s)
Número de modelo del producto A1864-64-Gold
Caracteristicas especiales Multitactil
Peso 204 g",20000,16000,Teléfonos y comunicaciones,"https://images-na.ssl-images-amazon.com/images/I/81b7oHjvbbL._SX569_.jpg,https://drop.ndtv.com/TECH/product_database/images/982016125448AM_635_iphone_7_plus.jpeg,https://www.ishopperu.com.pe/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphones-7-plus-rosegold.jpg,https://images-na.ssl-images-amazon.com/images/I/418fDVeBfKL._SY550_.jpg"
Samsung galaxy S6,JC08,"Desbloqueado y compatible con red Telcel, AT&T, Movistar, Nextel, Iusacell, Unefon, Virgin.
Pantalla 5""Dual Edge Super AMOLED, Camara Principal Dual Pixel 12 MPX F/1.7 Con Grabacion De Video 4K, Camara Frontal De 5 MPX F/1.7 , Sensor De Huellas Digitales, Procesador De 8 Nucleos 2.3 Ghz, 1.6 Ghz, 32 GB De Almacenamiento Interno, Bateria 3,600 Mah.","Desbloqueado y compatible con red Telcel, AT&T, Movistar, Nextel, Iusacell, Unefon, Virgin.
Pantalla 5""Dual Edge Super AMOLED, Camara Principal Dual Pixel 12 MPX F/1.7 Con Grabación De Video 4K, Camara Frontal De 5 MPX F/1.7 , Sensor De Huellas Digitales, Procesador De 8 Nucleos 2.3 Ghz, 1.6 Ghz, 32 GB De Almacenamiento Interno, Bateria 3,600 Mah.",6000,4000,Teléfonos y comunicaciones,"https://media.ldlc.com/ld/products/00/02/93/15/LD0002931560_2.jpg,https://www.discoazul.fr/uploads/media/images/samsung-galaxy-s6-gold-platinum-11.jpg,http://www.servicelhn.com/wp-content/uploads/2017/09/samsung-galaxy-s6-black.jpg,https://http2.mlstatic.com/celular-samsung-galaxy-s6-32gb-4g-lte-16mp-demo-D_NQ_NP_817451-MLM28828683961_112018-F.jpg"
Samsung galaxy S6 EDGE,JC09,"Innovative Dual-Edge Screen
5.1"" Quad HD Super AMOLED display
16MP rear-facing camera
Single-SIM. SIM size:Nano-SIM (4FF).","Peso del producto 136 g
Dimensiones del producto 14.2 x 0.7 x 7 cm
Pilas: 1 Lithium ion necesaria(s), incluida(s)
Número de modelo del producto SSG925FABK
Caracteristicas especiales Camara
Peso 136 g",10000,8000,Teléfonos y comunicaciones,"https://d3h386ekbfvhnm.cloudfront.net/catalog/product/cache/21/image/385x440/602f0fa2c1f0d1ba5e241f914e856ff9/s/6/s6_edge_plus_noir_5.jpg,https://images-na.ssl-images-amazon.com/images/I/71DCgKTo3NL._SX569_.jpg,https://www.spyequipmentuk.co.uk/wp-content/uploads/cm/images/stories/virtuemart/product/GalaxyS6Edge1.jpg,https://cymcomputer.com/wp-content/uploads/2017/11/samsung_galaxy_s6_edge_plus_32gb_white_g928c__1.jpg"
Samsung galaxy S7,JC10,"Desbloqueado y compatible con red Telcel, AT&T, Movistar, Nextel, Iusacell, Unefon, Virgin.
Pantalla 5""Dual Edge Super AMOLED, Camara Principal Dual Pixel 12 MPX F/1.7 Con Grabacion De Video 4K, Camara Frontal De 5 MPX F/1.7 , Sensor De Huellas Digitales, Procesador De 8 Nucleos 2.3 Ghz, 1.6 Ghz, 32 GB De Almacenamiento Interno, Bateria 3,600 Mah.","Desbloqueado y compatible con red Telcel, AT&T, Movistar, Nextel, Iusacell, Unefon, Virgin.
Pantalla 5""Dual Edge Super AMOLED, Camara Principal Dual Pixel 12 MPX F/1.7 Con Grabación De Video 4K, Camara Frontal De 5 MPX F/1.7 , Sensor De Huellas Digitales, Procesador De 8 Nucleos 2.3 Ghz, 1.6 Ghz, 32 GB De Almacenamiento Interno, Bateria 3,600 Mah.",10000,8000,Teléfonos y comunicaciones,"https://images-na.ssl-images-amazon.com/images/I/71VEYuQ8yrL._SY550_.jpg,https://images-na.ssl-images-amazon.com/images/I/71lhossMoYL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/41FTxzJy1HL._SY355_.jpg,https://images-na.ssl-images-amazon.com/images/I/71tUk9DmKBL._SL1500_.jpg"
