ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,simple,,StarTech.com 4 Pin Molex,1,0,visible,"Este adaptador de alimentación SATA Molex para ángulo recto de 6 clavijas (LP4) de 6 pulgadas cuenta con un conector macho Molex (LP4) de 4 clavijas y un conector de alimentación SATA en ángulo recto (hembra), ","Este adaptador de alimentación SATA Molex para ángulo recto de 6 clavijas (LP4) de 6 pulgadas cuenta con un conector macho Molex (LP4) de 4 clavijas y un conector de alimentación SATA en ángulo recto (hembra), lo que le permite alimentar un disco duro Serial ATA Conexión LP4 convencional, eliminando la necesidad de actualizar la fuente de alimentación de la computadora para la compatibilidad con el disco duro SATA.",,,,,1,200,1,0,0,,,,,1,,190,200,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po1.jpg,,,,,,,,,0,Color:,,1,0,Material:,,1,0
,simple,,StarTech.com LP4 to P4,1,0,visible,Este adaptador de cable de alimentación auxiliar LP4 a P4 de 6 pulg. Convierte un conector LP4 hembra en el conector P4 macho necesario para la conexión a una placa base Pentium 4. Este adaptador de cable está fabricado con materiales de alta calidad y diseñado para un rendimiento duradero.,Este adaptador de cable de alimentación auxiliar LP4 a P4 de 6 pulg. Convierte un conector LP4 hembra en el conector P4 macho necesario para la conexión a una placa base Pentium 4. Este adaptador de cable está fabricado con materiales de alta calidad y diseñado para un rendimiento duradero.,,,,,1,200,1,0,0,,,,,1,,150,190,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po2.jpg,,,,,,,,,1,Color:,,1,0,Material:,,1,0
,simple,,QVS Single-Port Power,1,0,visible,"Para eliminar el consumo de energía adicional cuando no sea necesario, elija el adaptador de alimentación de un solo puerto QVS. ","Para eliminar el consumo de energía adicional cuando no sea necesario, elija el adaptador de alimentación de un solo puerto QVS. Hay muchos dispositivos electrónicos que utilizan la energía de reserva incluso cuando no se requiere; esto incluye computadoras portátiles, sistemas de sonido, tabletas, cargadores de teléfono, etc. Este adaptador de alimentación de 2 clavijas hace que sea ideal para encender / apagar cuando no se usa sin desconectar y eliminar el desperdicio de energía. Puede acoplarse fácilmente a cualquier toma de corriente, protector contra sobretensiones o regleta de alimentación con las tomas de montaje lateral y las tomas de corriente de tomas múltiples sin cubrir los enchufes opuestos o los interruptores de luz. Entonces, ¡adelante y haga el pedido para el adaptador de alimentación de un solo puerto QVS lo antes posible!",,,,,1,200,1,0,0,,,,,1,,270,300,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po3.jpg,,,,,,,,,2,Color:,,1,0,Material:,,1,0
,simple,,Motorola power cable Product Details,1,0,visible,Especificaciones Cable de alimentación,Especificaciones Cable de alimentación,,,,,1,200,1,0,0,,,,,1,,190,200,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po5.jpg,,,,,,,,,3,Color:,,1,0,Material:,,1,0
,simple,,Tripp Lite Computer Power,1,0,visible,La línea de cables de alimentación de CA de Tripp Lite ofrece a los usuarios de PC una solución a sus problemas de conectividad eléctrica. ,La línea de cables de alimentación de CA de Tripp Lite ofrece a los usuarios de PC una solución a sus problemas de conectividad eléctrica. Este cable de 8 pies reemplazará el cable de alimentación en la mayoría de las computadoras y periféricos.,,,,,1,200,1,0,0,,,,,1,,190,200,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po4.jpg,,,,,,,,,4,Color:,,1,0,Material:,,1,0
,simple,,Cisco Jumper - power cable (250 VAC) ,1,0,visible,Cisco Jumper - power cable (250 VAC) ,Cisco Jumper - power cable (250 VAC) ,,,,,1,200,1,0,0,,,,,1,,400,500,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po6.jpg,,,,,,,,,5,Color:,,1,0,Material:,,1,0
,simple,,Lenovo ThinkPad Battery,1,0,visible,"La Lenovo ThinkPad Battery 68+ es compatible con los sistemas W550, T440, T440s, L450, T450s, T450, T550, X250 y X240. ","La Lenovo ThinkPad Battery 68+ es compatible con los sistemas W550, T440, T440s, L450, T450s, T450, T550, X250 y X240. Esta batería de 6 celdas utiliza la tecnología de iones de litio y le permite permanecer desenchufado durante más tiempo, lo que brinda la mayor duración posible de la batería. La batería puede suministrar energía durante aproximadamente 72 vatios por hora y es recargable. La protección contra sobrecargas garantiza un flujo seguro de energía, lo que evita daños debidos a una tensión incorrecta. Cada uno está protegido con un chip que se autentica con los sistemas Lenovo.",,,,,1,200,1,0,0,,,,,1,,670,700,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po7.jpg,,,,,,,,,6,Color:,,1,0,Material:,,1,0
,simple,,Lenovo Notebook Battery,1,0,visible,Mantente desconectado por más tiempo con esta batería ThinkPad 70 ++ original. Esta batería recargable utiliza la tecnología de iones de litio y puede usarse como reemplazo de baterías viejas o como una batería de repuesto conveniente.,Mantente desconectado por más tiempo con esta batería ThinkPad 70 ++ original. Esta batería recargable utiliza la tecnología de iones de litio y puede usarse como reemplazo de baterías viejas o como una batería de repuesto conveniente.,,,,,1,200,1,0,0,,,,,1,,190,200,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po8.jpg,,,,,,,,,7,Color:,,1,0,Material:,,1,0
,simple,,Power Products PA3727U-1BRS,1,0,visible,Esta nueva batería compatible con Premium Power Products by eReplacements es 100% compatible con su batería original. Las baterías de reemplazo electrónico cumplirán o superarán las especificaciones de la batería original.,"Esta nueva batería compatible con Premium Power Products by eReplacements es 100% compatible con su batería original. Las baterías de reemplazo electrónico cumplirán o superarán las especificaciones de la batería original. Se fabrican para obtener un alto rendimiento en las fábricas ISO 9000 que utilizan las celdas de mejor calidad y las normas de control de ingeniería y seguridad más actualizadas, como la protección de cierre de alta / baja temperatura, la protección contra el embalamiento térmico, la protección de cierre de sobrecarga, la protección de cierre de descarga, Desequilibrio celular de protección de cierre, carcasa de plástico resistente al fuego. Se fabrican utilizando el conjunto de chips de TI más actualizado. Miles de revendedores, distribuidores y compañías de servicios a lo largo de los años han confiado en los reemplazos electrónicos para proporcionar a sus clientes baterías de reemplazo de calidad.",,,,,1,200,1,0,0,,,,,1,,190,200,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/p09.jpg,,,,,,,,,8,Color:,,1,0,Material:,,1,0
,simple,,eReplacements - notebook battery,1,0,visible,Esta nueva batería compatible con Premium Power Products by eReplacements es 100% compatible con su batería original. Las baterías de reemplazo electrónico cumplirán o superarán las especificaciones de la batería original.,"Esta nueva batería compatible con Premium Power Products by eReplacements es 100% compatible con su batería original. Las baterías de reemplazo electrónico cumplirán o superarán las especificaciones de la batería original. Se fabrican para obtener un alto rendimiento en las fábricas ISO 9000 que utilizan las celdas de mejor calidad y las normas de control de ingeniería y seguridad más actualizadas, como la protección de cierre de alta / baja temperatura, la protección contra el embalamiento térmico, la protección de cierre de sobrecarga, la protección de cierre de descarga, Desequilibrio celular de protección de cierre, carcasa de plástico resistente al fuego. Se fabrican utilizando el conjunto de chips de TI más actualizado. Miles de revendedores, distribuidores y compañías de servicios a lo largo de los años han confiado en los reemplazos electrónicos para proporcionar a sus clientes baterías de reemplazo de calidad.",,,,,1,200,1,0,0,,,,,1,,560,600,Poder,,,http://morin42.me/wordpress/wp-content/uploads/2019/04/po10.jpg,,,,,,,,,9,Color:,,1,0,Material:,,1,0
